string,numbers,errors
eadcbfcbdcf,"[5, 1, 4, 3, 2, 6, 3, 2, 4, 3, 6]",0
adcffadcbea,"[1, 4, 3, 6, 6, 1, 4, 3, 2, 5, 1]",0
adcbadcbdcc,"[1, 4, 3, 2, 1, 4, 3, 2, 4, 3, 3]",0
adcbfcfadcb,"[1, 4, 3, 2, 6, 3, 6, 1, 4, 3, 2]",0
dcfcfadccfe,"[4, 3, 6, 3, 6, 1, 4, 3, 3, 6, 5]",0
adcfeadcffa,"[1, 4, 3, 6, 5, 1, 4, 3, 6, 6, 1]",0
dccfeadcbea,"[4, 3, 3, 6, 5, 1, 4, 3, 2, 5, 1]",0
fccfeadccfc,"[6, 3, 3, 6, 5, 1, 4, 3, 3, 6, 3]",0
adcccfadcfe,"[1, 4, 3, 3, 3, 6, 1, 4, 3, 6, 5]",0
badccbadcbe,"[2, 1, 4, 3, 3, 2, 1, 4, 3, 2, 5]",0
dcbeadccbff,"[4, 3, 2, 5, 1, 4, 3, 3, 2, 6, 6]",0
dcbbbdcfadc,"[4, 3, 2, 2, 2, 4, 3, 6, 1, 4, 3]",0
badcccbfead,"[2, 1, 4, 3, 3, 3, 2, 6, 5, 1, 4]",0
beadcfffadc,"[2, 5, 1, 4, 3, 6, 6, 6, 1, 4, 3]",0
ccbffeadcff,"[3, 3, 2, 6, 6, 5, 1, 4, 3, 6, 6]",0
bbadccbfead,"[2, 2, 1, 4, 3, 3, 2, 6, 5, 1, 4]",0
bbbadccbfcf,"[2, 2, 2, 1, 4, 3, 3, 2, 6, 3, 6]",0
dccffadccbd,"[4, 3, 3, 6, 6, 1, 4, 3, 3, 2, 4]",0
ccfadccfadc,"[3, 3, 6, 1, 4, 3, 3, 6, 1, 4, 3]",0
ffadcbdccfe,"[6, 6, 1, 4, 3, 2, 4, 3, 3, 6, 5]",0
eadcfcffead,"[5, 1, 4, 3, 6, 3, 6, 6, 5, 1, 4]",0
feadcffccfc,"[6, 5, 1, 4, 3, 6, 6, 3, 3, 6, 3]",0
badccbeadcb,"[2, 1, 4, 3, 3, 2, 5, 1, 4, 3, 2]",0
eadcccfadcb,"[5, 1, 4, 3, 3, 3, 6, 1, 4, 3, 2]",0
eadcfadcfad,"[5, 1, 4, 3, 6, 1, 4, 3, 6, 1, 4]",0
adccfadcfea,"[1, 4, 3, 3, 6, 1, 4, 3, 6, 5, 1]",0
fcfeadcccff,"[6, 3, 6, 5, 1, 4, 3, 3, 3, 6, 6]",0
bbfeadcbcbc,"[2, 2, 6, 5, 1, 4, 3, 2, 3, 2, 3]",0
fcfadccbead,"[6, 3, 6, 1, 4, 3, 3, 2, 5, 1, 4]",0
ffeadccbbea,"[6, 6, 5, 1, 4, 3, 3, 2, 2, 5, 1]",0
eadcfccfadc,"[5, 1, 4, 3, 6, 3, 3, 6, 1, 4, 3]",0
bcbcffadcfc,"[2, 3, 2, 3, 6, 6, 1, 4, 3, 6, 3]",0
fcbdcbadccc,"[6, 3, 2, 4, 3, 2, 1, 4, 3, 3, 3]",0
fcbadcfeadc,"[6, 3, 2, 1, 4, 3, 6, 5, 1, 4, 3]",0
adcbbadcbcf,"[1, 4, 3, 2, 2, 1, 4, 3, 2, 3, 6]",0
adcbbadccbd,"[1, 4, 3, 2, 2, 1, 4, 3, 3, 2, 4]",0
eadcccbfadc,"[5, 1, 4, 3, 3, 3, 2, 6, 1, 4, 3]",0
cbbcfeadccc,"[3, 2, 2, 3, 6, 5, 1, 4, 3, 3, 3]",0
cbbadcbdcfa,"[3, 2, 2, 1, 4, 3, 2, 4, 3, 6, 1]",0
dcbdcbfcbad,"[4, 3, 2, 4, 3, 2, 6, 3, 2, 1, 4]",0
beadccbadcc,"[2, 5, 1, 4, 3, 3, 2, 1, 4, 3, 3]",0
