string,grammatical
VQXVRT,1
MXRTQX,1
XTQXRQ,1
RTQMXR,1
MVRTQX,1
QMXVRQ,1
QMVQXR,1
VRTQMX,1
TQMXVR,1
VRQXVQ,1
XRQXTQ,1
TQMVQM,1
RTQMVR,1
RQMXTQ,1
VQXVQM,1
XVRTQX,1
XVRQXT,1
VQMVQX,1
VRQMVR,1
QMVQXT,1
VQMVQX,1
QXTQXT,1
MVQMVR,1
VQXTQM,1
XTQMXR,1
RTQXTQ,1
XVRQMV,1
QMXRTQ,1
VQMVQX,1
QMXRTQ,1
VQMVQM,1
TQXRQM,1
VQXTQX,1
VRTQMX,1
RQXVQX,1
RQXVQX,1
QXVQMX,1
QMVQMX,1
TQXTQX,1
RQMXRQ,1
QMXVQM,1
RTQXTQ,1
RQXTQM,1
TQMVQX,1
XVQXVQ,1
RTQXTQ,1
TQXRQM,1
VRTQXT,1
RTQXTQ,1
MXTQXR,1
TQXVRT,1
QXVRTQ,1
RQXTQM,1
VQXRQX,1
XTQXVQ,1
VRTQXT,1
MXRQXT,1
RQXVQM,1
MXVQMV,1
VRTQMX,1
XVQXVR,1
QXVQXV,1
RTQMVQ,1
TQXTQM,1
MXVQXT,1
VRQXVQ,1
QXRQMV,1
QMXVQM,1
XRQXTQ,1
TQXRTQ,1
TQMVQX,1
TQMVRT,1
RQXRQM,1
MXVRTQ,1
XVRTQX,1
TQMXVQ,1
VQXVQX,1
MVRQMV,1
MVRQMV,1
QXVQXV,1
VQXRTQ,1
RTQMXV,1
RQMVQX,1
VQMVQX,1
XRTQMV,1
MXRQXV,1
QMVRTQ,1
XVQMXV,1
VRQMXR,1
VRTQMX,1
MXTQXR,1
TQMXRQ,1
XVQMVR,1
QXVQXT,1
QXVQXR,1
VRTQMX,1
QMXVRT,1
MXTQXT,1
RTQXTQ,1
RQXTQX,1
MVQXTQ,1
QMXVQM,1
MVQXTQ,1
MXRTQM,1
MXTQXT,1
MXRTQX,1
RQXTQX,1
XVQXTQ,1
XRQMXT,1
MVRQMX,1
QXRQMV,1
VQXTQX,1
MXTQMX,1
RTQXRQ,1
XTQMVR,1
MXRQMX,1
QXRTQX,1
TQMVRQ,1
QXTQXR,1
MXTQMX,1
VRTQXV,1
MXRQMX,1
XRTQXR,1
MVQXRQ,1
QMVRQX,1
XVQMVR,1
QXVQMX,1
XRTQMV,1
RQXTQX,1
RQMXVQ,1
VRQMVR,1
VQMXTQ,1
QXVQMV,1
TQMVQM,1
VQMVQM,1
TQXTQM,1
MVRTQX,1
RTQMVQ,1
VQXRTQ,1
QXRQMX,1
XVRQXR,1
TQXRTQ,1
TQMXVR,1
VQMVRT,1
QMXTQX,1
MVRTQM,1
VQMXRT,1
VRQXVR,1
TQXTQM,1
XTQXTQ,1
MVRQMV,1
QMVRTQ,1
TQMVQX,1
QMXTQM,1
QMVRQX,1
XVRQXR,1
TQMVRT,1
RTQXTQ,1
RQXRQM,1
XVRQMV,1
VRQXVR,1
VRQXRT,1
TQMVRT,1
MXVRQM,1
QMXVQM,1
TQXTQX,1
TQMVQX,1
VRQMXR,1
TQXVQX,1
MXTQMV,1
XVRQXV,1
VRQMXV,1
RQMVQX,1
QXTQXV,1
MXVRTQ,1
RTQXVQ,1
RQXTQX,1
VQMVRQ,1
TQMVQX,1
XRQMVR,1
VRTQXT,1
MVRQMV,1
QXTQMX,1
QXTQXT,1
MXVRTQ,1
QXTQMX,1
QXVQXV,1
XTQMXT,1
TQXVQM,1
MXRTQM,1
XRTQMX,1
MXTQMV,1
TQMVRQ,1
QXVQMV,1
VRQXVQ,1
RTQMVQ,1
MXTQXT,1
QXTQMX,1
MVQMVQ,1
MXRQMV,1
MXVRQX,1
XTQMVR,1
VQXTQM,1
MXTQXT,1
XVRQMX,1
MXRQXT,1
RTQMVR,1
XTQMVR,1
TQMVRT,1
TQMXVQ,1
VQMVQX,1
QXTQXV,1
TQMXVQ,1
RTQXTQ,1
TQXTQX,1
TQXTQX,1
RTQXRQ,1
TQXTQX,1
VRQMXT,1
TQMXTQ,1
RTQMVQ,1
XTQMXT,1
QMVRTQ,1
TQMVRQ,1
QMXRQM,1
RQXVRQ,1
RQMVQX,1
RTQMXT,1
TQMXVR,1
TQMXTQ,1
TQXVRQ,1
MVQMVQ,1
XTQMVQ,1
VRQXTQ,1
TQXTQX,1
XVQMVR,1
VQMVRQ,1
XTQMXV,1
TQMVQX,1
RQMXTQ,1
TQMXTQ,1
RQMVRT,1
RTQXRT,1
TQMVQX,1
XTQXRT,1
QXTQMV,1
RQMVQX,1
VRQMXT,1
VRTQMX,1
QXRTQM,1
TQMVRQ,1
QMXTQM,1
RTQMXR,1
RTQMXV,1
VQMXTQ,1
TQMXVR,1
TQXTQM,1
TQXRQM,1
XRTQMV,1
QXVQMV,1
TQXVQM,1
XTQXRT,1
XTQXVQ,1
RQXVQM,1
VRTQMV,1
MXRQMV,1
MVQMVQ,1
XTQXTQ,1
MVQMXT,1
MXRTQM,1
QXVRTQ,1
XTQMVR,1
VQXTQM,1
QXRTQX,1
RTQMVQ,1
MXTQXR,1
VRTQXR,1
TQXRQX,1
XTQXTQ,1
TQXTQM,1
QMVQXT,1
RTQMXV,1
MVQMXR,1
QMVRQM,1
XTQXTQ,1
RTQMXR,1
VRQMXT,1
RQMVQX,1
VQMVRQ,1
TQXVQX,1
XTQXVQ,1
VQMVQX,1
MVQXTQ,1
QXVRTQ,1
XVRQMV,1
RTQXRT,1
QMXTQX,1
TQMXRQ,1
MVRQMX,1
VQXVRQ,1
MXTQXR,1
XTQXVR,1
TQXVRQ,1
VRQXRT,1
TQXTQX,1
QMXVQX,1
RQMXVR,1
VRQXTQ,1
TQMVRQ,1
RQMXRT,1
XVRTQX,1
VQXRTQ,1
QXRTQM,1
QMVRTQ,1
TQMVRT,1
MXVRTQ,1
TQXVRQ,1
TQMXTQ,1
MXTQMX,1
RTQXTQ,1
TQXTQM,1
VQMXRQ,1
VQXVQX,1
QMVRQM,1
RTQXTQ,1
VQXVRQ,1
MVRTQX,1
MVRQMV,1
XRQMXR,1
QMXVQM,1
QMVRTQ,1
VRQMVQ,1
QXRTQM,1
TQXRQM,1
XRQMXT,1
RTQMVR,1
VRTQMV,1
RTQXTQ,1
XTQXTQ,1
XTQXTQ,1
QMXRTQ,1
VQXVRT,1
XRQXRQ,1
VRQMXR,1
RQXRQM,1
TQMVQM,1
TQXRTQ,1
VQXVRQ,1
XVQXRQ,1
XRQXRQ,1
MVRTQM,1
RTQMVQ,1
QMVRQX,1
QXRQXV,1
RQMXVQ,1
TQXVRT,1
VQMXTQ,1
MXRQMX,1
VQXRQX,1
TQXVQX,1
MVRTQX,1
TQXVQX,1
RTQXRQ,1
VRQXVR,1
TQXRQM,1
VRQXRT,1
RQMXTQ,1
XVQXRT,1
MVQMVR,1
RQXVQX,1
QXTQMX,1
RTQXTQ,1
XRTQMV,1
VRQXTQ,1
MVRQMV,1
MXVQXV,1
